"uuid","void/retire","data class","data type","fully specified name:en","short name:en","short name:en_GB","synonym 1:en","synonym 2:en","synonym 3:en","synonym 4:en","synonym 5:en","synonym 6:en","synonym 7:en","synonym 8:en","description:en","mappings|SAME-AS|PIH Malawi","mappings|NARROWER-THAN|Malawi HMIS Outpatient Indicators","mappings|NARROWER-THAN|SPINE Coded answers","mappings|NARROWER-THAN|SPINE","mappings|SAME-AS|PIH","mappings|SAME-AS|CIEL","mappings|SAME-AS|SNOMED CT","mappings|NARROWER-THAN|SNOMED NP","mappings|SAME-AS|AMPATH","mappings|NARROWER-THAN|SNOMED CT","mappings|SAME-AS|org.openmrs.module.emrapi","absolute high","critical high","normal high","absolute low","critical low","normal low","allow decimals","units","display precision"
"3b861411-5818-430a-8a90-2deabf89f328",,"Drug","N/A","12PP: DRV 150 + r 50 + DTG 10 (± NRTIs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"53009e3a-dc3f-11e8-9f8b-f2801f1b9fd1",,"Drug","N/A","13A: TDF / 3TC / DTG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5e16f0b2-dc3f-11e8-9f8b-f2801f1b9fd1",,"Drug","N/A","14A: AZT / 3TC + DTG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cf770b14-4c9d-11ea-b77f-2e728ce88125",,"Drug","N/A","14P: AZT / 3TC + DTG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e901ec7c-f45c-413f-a186-4c779227ac08",,"Drug","N/A","14PA: AZT 60 / 3TC 30 + DTG 50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8fe981ba-2349-41e4-99d8-2d6051f24718",,"Drug","N/A","14PP: AZT 60 / 3TC 30 + DTG 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6764fc5e-dc3f-11e8-9f8b-f2801f1b9fd1",,"Drug","N/A","15A: ABC / 3TC + DTG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e2ec7c88-4c9d-11ea-b77f-2e728ce88125",,"Drug","N/A","15P: ABC / 3TC + DTG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fb26bc7f-ae9c-4655-9823-ce0066d8081a",,"Drug","N/A","15PA: ABC 120 / 3TC 60 + DTG 50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e58595c7-8354-48ea-a2b8-f75584bdf594",,"Drug","N/A","15PP: ABC / 3TC + DTG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e2ec805c-4c9d-11ea-b77f-2e728ce88125",,"Drug","N/A","16A: ABC / 3TC + RAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e2ec82b4-4c9d-11ea-b77f-2e728ce88125",,"Drug","N/A","16P: ABC / 3TC + RAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e2ec871e-4c9d-11ea-b77f-2e728ce88125",,"Drug","N/A","17A: ABC / 3TC + EFV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e2ec899e-4c9d-11ea-b77f-2e728ce88125",,"Drug","N/A","17P: ABC / 3TC + EFV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fd5521f9-00e1-42dc-98cf-103c44e64bc1",,"Drug","N/A","17PA: ABC 600 / 3TC 300 + EFV 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e13a8993-5604-40c9-90ea-8217d7d047f0",,"Drug","N/A","17PP: ABC 120 / 3TC 60 + EFV 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"657ab1ba-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","1A: d4T / 3TC / NVP (previous 1L)",,,,,,,,,,,,"8155",,,,,,,,,,,,,,,,,,,
"657ab372-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","1P: d4T / 3TC / NVP",,,,,,,,,,,,"8156",,,,,,,,,,,,,,,,,,,
"65684b4c-977f-11e1-8993-905e29aff6c1",,"Finding","Numeric","2",,,,,,,,,,,"grading system, describing degree of finding.","3886",,,,,,,,,,,,,,,,,"false","",
"6560a3a6-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","2 HRZE 7 / 4 RH 3","2RHZE+4RH","2RHZE+4RH","Category I TB regimen",,,,,,,," 2 months of rifampicin, isoniazid, pyrazinamide, and ethambutol 7 days a week follwed by 4 months of rifampicin and isoniazid 3 days a week","2692",,,,,,,,,,,,,,,,,,,
"6560a298-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","2 HRZE 7 / 4 RH 7",,,"Category I TB regimen",,,,,,,,"2 months of rifampicin, isoniazid, pyrazinamide, and ethambutol 7 days a week follwed by 4 months of rifampicin and isoniazid 7 days a week","2691",,,,,,,,,,,,,,,,,,,
"6575053a-977f-11e1-8993-905e29aff6c1",,"Finding","N/A","2 plus","2+","2+",,,,,,,,,,"7130",,,,,,,,,,,,,,,,,,,
"654b48da-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","2 to 3 hours",,,"Two to three hours",,,,,,,,"Time range 2 to 3 hours","982",,,,,,,,,,,,,,,,,,,
"6557829e-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","2 to 3 times a week",,,,,,,,,,,"Time range which is between two and three times a week.","1093",,,,,,,,,,,,,,,,,,,
"65578186-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","2 to 4 times a month",,,,,,,,,,,"Time range which is between two to four times a month.","1092",,,,,,,,,,,,,,,,,,,
"65798ec0-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","2 weeks",,,,,,,,,,,"A duration","7967",,,,,,,,,,,,,,,,,,,
"65707920-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","2.0 - 2.5",,,,,,,,,,,"INR Range","6291",,,,,,,,,,,,,,,,,,,
"65707a24-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","2.5 - 3.0",,,,,,,,,,,,"6292",,,,,,,,,,,,,,,,,,,
"657ab520-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","2A: AZT / 3TC / NVP (previous AZT)",,,,,,,,,,,,"8157",,,,,,,,,,,,,,,,,,,
"657ab6d8-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","2P: AZT / 3TC / NVP",,,,,,,,,,,,"8158",,,,,,,,,,,,,,,,,,,
"655d555c-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","2RHEZ / 4RH","2RHEZ/4RH","2RHEZ/4RH",,,,,,,,,"Standard firstline TB regimen for adults","2125",,,,,,,,,,,,,,,,,,,
"655d5458-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","2RHZ / 4RH","2RHZ/4RH","2RHZ/4RH",,,,,,,,,"Regular TB schema for young children under 6","2124",,,,,,,,,,,,,,,,,,,
"655d566a-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","2S+RHEZ / 1RHEZ / 5RH+E","2RHEZS/1RHEZ/5RHE","2RHEZS/1RHEZ/5RHE","2SRHZE+1RHZE/5RHE",,,,,,,,"TB retreatment regimen, used in Rwanda (and perhaps other places) and malawi.","2126",,,,,,,,,,,,,,,,,,,
"6574fa36-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","2SRHZ+7RH",,,,,,,,,,,"TBM Regimen","7127",,,,,,,,,,,,,,,,,,,
"65684c46-977f-11e1-8993-905e29aff6c1",,"Finding","Numeric","3",,,,,,,,,,,"grading system, describing degree of finding.","3887",,,,,,,,,,,,,,,,,"false","",
"6575063e-977f-11e1-8993-905e29aff6c1",,"Finding","N/A","3 plus","3+","3+","+++",,,,,,,,,"7131",,,,,,,,,,,,,,,,,,,
"654b49de-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","3 to 6 hours",,,"Three to six hours",,,,,,,,"Time range three to six hours","983",,,,,,,,,,,,,,,,,,,
"65798fce-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","3 weeks",,,,,,,,,,,"Duration","7968",,,,,,,,,,,,,,,,,,,
"655efcd6-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","3-4 times/wk",,,,,,,,,,,,"2401",,,,,,,,,,,,,,,,,,,
"655d3fa4-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","3-4 weeks ago",,,,,,,,,,,"3-4 weeks ago","2104",,,,,,,,,,,,,,,,,,,
"65707b32-977f-11e1-8993-905e29aff6c1",,"Test","Numeric","3.0 - 3.5",,,,,,,,,,,"INR range","6293",,,,,,,,,,,,,,,,,"false","",
"65575288-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","30 to 60 minutes",,,"30-60 min",,,,,,,,"Time range which is between thirty and sixty minutes.","1050",,,,,,,,,,,,,,,,,,,
"657ab886-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","3A: d4T / 3TC + EFV (previous EFV)",,,,,,,,,,,,"8159",,,,,,,,,,,,,,,,,,,
"0f233aab-1c6b-4135-883f-47bd95f62432",,"Units of Measure","N/A","3HP (Rifapentine and Isoniazid)","3HP (RFP/INH)","3HP (RFP/INH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"657aba3e-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","3P: d4T / 3TC + EFV",,,,,,,,,,,,"8160",,,,,,,,,,,,,,,,,,,
"65492032-977f-11e1-8993-905e29aff6c1","true","Drug","N/A","3TC",,,,,,,,,,,"drug for antiviral therapy usually HIV",,,,,,,,,,,,,,,,,,,,
"65684d4a-977f-11e1-8993-905e29aff6c1",,"Finding","Numeric","4",,,,,,,,,,,"grading system, describing degree of finding.","3888",,,,,,,,,,,,,,,,,"false","",
"65750738-977f-11e1-8993-905e29aff6c1",,"Finding","N/A","4 plus","4+","4+","++++",,,,,,,,,"7132",,,,,,,,,,,,,,,,,,,
"655783c0-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","4 to 5 times a week",,,,,,,,,,,"Time range which is between four and five times a week.","1094",,,,,,,,,,,,,,,,,,,
"657990dc-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","4 weeks",,,,,,,,,,,"Duration","7969",,,,,,,,,,,,,,,,,,,
"657abbec-977f-11e1-8993-905e29aff6c1","true","Drug","N/A","4A: AZT / 3TC + EFV (previous AZTEFV)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"657abd9a-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","4A: AZT / 3TC + EFV (previous AZTEFV)",,,,,,,,,,,,"8162",,,,,,,,,,,,,,,,,,,
"657abf48-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","4P: AZT / 3TC + EFV",,,,,,,,,,,,"8163",,,,,,,,,,,,,,,,,,,
"0c812dc8-cb40-4e2e-926e-ebd9fb3376ff",,"Drug","N/A","4PA: AZT 300 / 3TC 150 + EFV 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1fb83022-491b-4a0b-bd81-a1a48cfc082f",,"Drug","N/A","4PP: AZT 60 / 3TC 30 + EFV 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65769904-977f-11e1-8993-905e29aff6c1",,"Test","Numeric","5 plus","5+","5+","+++++",,,,,,,,,"7416",,,,,,,,,,,,,,,,,"false","",
"657ac056-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","5A: TDF / 3TC / EFV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"655784e2-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","6 or more times a week",,,,,,,,,,,"Time range which is greater than or equal to six times per week.","1095",,,,,,,,,,,,,,,,,,,
"6572d65c-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","6/12",,,,,,,,,,,,"6704",,,,,,,,,,,,,,,,,,,
"65746f62-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","6/18",,,,,,,,,,,,"6999",,,,,,,,,,,,,,,,,,,
"6572fec0-977f-11e1-8993-905e29aff6c1",,"Finding","N/A","6/24",,,,,,,,,,,,"6730",,,,,,,,,,,,,,,,,,,
"6572d7f6-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","6/36",,,,,,,,,,,,"6705",,,,,,,,,,,,,,,,,,,
"6572d38c-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","6/6",,,,,,,,,,,,"6702",,,,,,,,,,,,,,,,,,,
"6572d990-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","6/60",,,,,,,,,,,,"6706",,,,,,,,,,,,,,,,,,,
"6572d4a4-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","6/9",,,,,,,,,,,,"6703",,,,,,,,,,,,,,,,,,,
"6546b1f8-977f-11e1-8993-905e29aff6c1","true","Diagnosis","N/A","65f120de-977f-11e1-8993-905e29aff6c1",,,,,,,,,,,"elevated blood pressure, chronic",,,,,,,,,,,,,,,,,,,,
"657ac164-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","6A: TDF / 3TC + NVP",,,,,,,,,,,,"8165",,,,,,,,,,,,,,,,,,,
"657ac268-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","7A: TDF / 3TC + ATV/r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"657ac36c-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","8A: AZT / 3TC + ATV/r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8a795372-ba39-11e6-91a8-5622a9e78e10",,"Drug","N/A","9A: ABC / 3TC + LPV/r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"657ac470-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","9P: ABC / 3TC + LPV/r",,,,,,,,,,,,"8168",,,,,,,,,,,,,,,,,,,
"e9478866-c8ce-4ca7-a593-03e8ba0166d7",,"Drug","N/A","9PA: ABC 600 / 3TC 300 + LPV/r 100/25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"84e96887-5963-4cc9-8feb-b2ccd1447465",,"Drug","N/A","9PP: ABC 120 / 3TC 60 + LPV/r 100/25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6549af7a-977f-11e1-8993-905e29aff6c1","true","Finding","N/A","A",,,,,,,,,,,"blood group A",,,,,,,,,,,,,,,,,,,,
"4301ebd1-8675-4977-ba23-2b1c9bbe12bc",,"Misc","N/A","A",,,,,,,,,,,"Started ARV before TB treatment",,,,,,,,,,,,,,,,,,,,
"655c1246-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","A good bit of the time",,,,,,,,,,,,"1896",,,,,,,,,,,,,,,,,,,
"655e3d3c-977f-11e1-8993-905e29aff6c1",,"State","N/A","A little better",,,,,,,,,,,,"2265",,,,,,,,,,,,,,,,,,,
"655c3528-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","A little bit",,,,,,,,,,,,"1906",,,,,,,,,,,,,,,,,,,
"655e2838-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","A little of the time",,,,,,,,,,,,"2253",,,,,,,,,,,,,,,,,,,
"655e3eea-977f-11e1-8993-905e29aff6c1",,"State","N/A","A little worse",,,,,,,,,,,,"2266",,,,,,,,,,,,,,,,,,,
"655cd3de-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","A lot",,,,,,,,,,,"A lot","2011",,,,,,,,,,,,,,,,,,,
"6549b2ae-977f-11e1-8993-905e29aff6c1",,"Finding","N/A","A negative",,,"A-",,,,,,,,"Describes a particular antigen combination on the surface of red blood cells: A, Rh negative.","692",,,,,,,,,,,,,,,,,,,
"6549b088-977f-11e1-8993-905e29aff6c1",,"Finding","N/A","A positive",,,"A+",,,,,,,,"Describes a particular antigen combination on the surface of red blood cells: A, Rh positive.","690",,,,,,,,,,,,,,,,,,,
"6549ae6c-977f-11e1-8993-905e29aff6c1","true","Finding","N/A","A+",,,,,,,,,,,"blood group A, Rh positive",,,,,,,,,,,,,,,,,,,,
"6549b196-977f-11e1-8993-905e29aff6c1","true","Finding","N/A","A-",,,,,,,,,,,"blood group A, Rh negative",,,,,,,,,,,,,,,,,,,,
"6575bfc0-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","A-haemolytic strep other than pneumo",,,,,,,,,,,,"7231",,,,,,,,,,,,,,,,,,,
"657385f2-977f-11e1-8993-905e29aff6c1",,"Test","Numeric","AAFB(1st)",,,"First sputum for AAFB",,,,,,,,,"6849",,,,,,,,,,,,,,,,,"false","",
"6578e434-977f-11e1-8993-905e29aff6c1",,"Finding","Text","AAFB(1st) results",,,"First sputum for AAFB results",,,,,,,,"Test results for first sputum sample
","7819",,,,,,,,,,,,,,,,,,,
"657386ec-977f-11e1-8993-905e29aff6c1",,"Test","Numeric","AAFB(2nd)",,,"Second sputum for AAFB",,,,,,,,,"6850",,,,,,,,,,,,,,,,,"false","",
"6578e538-977f-11e1-8993-905e29aff6c1",,"Finding","Text","AAFB(2nd) results",,,"Second sputum for AAFB results",,,,,,,,,"7820",,,,,,,,,,,,,,,,,,,
"657387e6-977f-11e1-8993-905e29aff6c1",,"Test","Numeric","AAFB(3rd)",,,"Third sputum for AAFB",,,,,,,,,"6851",,,,,,,,,,,,,,,,,"false","",
"6578e63c-977f-11e1-8993-905e29aff6c1",,"Finding","Text","AAFB(3rd) results",,,"Third sputum for AAFB results",,,,,,,,,"7821",,,,,,,,,,,,,,,,,,,
"65587b4a-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","AB negative",,,"AB-",,,,,,,,"Describes a particular antigen combination on the surface of red blood cells: AB, Rh negative.","1231",,,,,,,,,,,,,,,,,,,
"65587a32-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","AB positive",,,"AB+",,,,,,,,"Describes a particular antigen combination on the surface of red blood cells: AB, Rh positive.","1230",,,,,,,,,,,,,,,,,,,
"654a435e-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","Abacavir",,,"ABC","Ziagen",,,,,,,"A nucleoside reverse transcriptase inhibitor (NRTI) that prevents HIV from altering the genetic material of healthy T-cells.","814",,,,,,,,,,,,,,,,,,,
"656d77fc-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavir ARV",,,,,,,,,,,"none",,,,,,,,,,,,,,,,,,"false",,
"656d9cf0-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavir comment",,,,,,,,,,,"none",,,,,,,,,,,,,,,,,,"false",,
"656d919c-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavir discontinuation1",,,,,,,,,,,"Discontinuation Reason #1 - Abacavir (ABC)",,,,,,,,,,,,,,,,,,"false",,
"656b7efc-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavir discontinuation1 today",,,,,,,,,,,"none",,,,,,,,,,,,,,,,,,"false",,
"656d9322-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavir discontinuation2",,,,,,,,,,,"Discontinuation Reason #2 - Abacavir (ABC)",,,,,,,,,,,,,,,,,,"false",,
"656b801e-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavir discontinuation2 today",,,,,,,,,,,"none",,,,,,,,,,,,,,,,,,"false",,
"656d8684-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavir discontinued",,,,,,,,,,,"ARVs Discontinued Since Last Visit - Abacavir",,,,,,,,,,,,,,,,,,"false",,
"65795e50-977f-11e1-8993-905e29aff6c1",,"Drug","Numeric","Abacavir Lamivudine","ABC+3TC","ABC+3TC",,,,,,,,,"Abacavir Lamivudine","7927",,,,,,,,,,,,,,,,,"false","",
"654a4692-977f-11e1-8993-905e29aff6c1",,"Drug","N/A","Abacavir Lamivudine and Zidovudine",,,"Trizivir",,,,,,,,"Combination antiretroviral.","817",,,,,,,,,,,,,,,,,,,
"657957f2-977f-11e1-8993-905e29aff6c1",,"Test","Numeric","ABACAVIR LAMIVUDINE LOPINAVIR AND RITONAVIR","ABC/3TC+LPV/r","ABC/3TC+LPV/r",,,,,,,,,"ABACAVIR LAMIVUDINE LOPINAVIR AND RITONAVIR","7921",,,,,,,,,,,,,,,,,"false","",
"656d6dfc-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavir past",,,,,,,,,,,"none",,,,,,,,,,,,,,,,,,"false",,
"656d6f00-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavir present",,,,,,,,,,,"none",,,,,,,,,,,,,,,,,,"false",,
"656b7cd6-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavir recommendation",,,,,,,,,,,"Medication Recommendation - Abacavir (ABC)",,,,,,,,,,,,,,,,,,"false",,
"656b8136-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavir sig",,,,,,,,,,,"Dose And Comments - Abacavir (ABC)",,,,,,,,,,,,,,,,,,"false",,
"656d836e-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavir start continue",,,,,,,,,,,"ARVs Started/Continued Since Last Visit - Abacavir",,,,,,,,,,,,,,,,,,"false",,
"656d84fe-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavir start date",,,,,,,,,,,"none",,,,,,,,,,,,,,,,,,"false",,
"656b7dee-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavir start stop date",,,,,,,,,,,"Start/Stop Date",,,,,,,,,,,,,,,,,,"false",,
"656d880a-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavir stop date",,,,,,,,,,,"none",,,,,,,,,,,,,,,,,,"false",,
"656d7414-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abacavirp MTCT",,,,,,,,,,,"none",,,,,,,,,,,,,,,,,,"false",,
"655a0118-977f-11e1-8993-905e29aff6c1","true","State","N/A","Abandoned treatment","Abandoned","Abandoned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"654a4584-977f-11e1-8993-905e29aff6c1","true","Drug","N/A","ABC",,,,,,,,,,,"antiretorviral medication",,,,,,,,,,,,,,,,,,,,
"656aef78-977f-11e1-8993-905e29aff6c1","true","Test","Numeric","Abdomen",,,,,,,,,,,"Normal, Abnormal",,,,,,,,,,,,,,,,,,"false",,
"656a5d88-977f-11e1-8993-905e29aff6c1","true","Anatomy","Boolean","Abdomen comment",,,,,,,,,,,"none",,,,,,,,,,,,,,,,,,,,
"6560b8f0-977f-11e1-8993-905e29aff6c1",,"Question","Text","Abdomen ultrasound comment",,,,,,,,,,,"Results of the ultrasound of the abdomen","2713",,,,,,,,,,,,,,,,,,,
"65788a70-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","Abdominal",,,,,,,,,,,,"7737",,"8",,,,,,,,,,,,,,,,,
"655f316a-977f-11e1-8993-905e29aff6c1",,"ConvSet","N/A","Abdominal exam construct",,,,,,,,,,,"abdominal exam findings","2425",,,,,,,,,,,,,,,,,,,
"6557ac6a-977f-11e1-8993-905e29aff6c1",,"Finding","Coded","Abdominal exam findings",,,,,,,,,,,"Findings noted on examination of the abdomen.","1125",,,,,,,,,,,,,,,,,,,
"6548e4be-977f-11e1-8993-905e29aff6c1","true","Finding","Coded","Abdominal guarding","Guarding","Guarding",,,,,,,,,"rigidity of the abdominal wall due to inflammation",,,,,,,,,,,,,,,,,,,,
