"concept","member","sort weight","member type"
"Active medicine prescribed while hospitalized","Method of drug administration","4.0","concept-set"
"Active medicine prescribed while hospitalized","Other medication 1","5.0","concept-set"
"Active medicine prescribed while hospitalized","Other medication 2","6.0","concept-set"
"Additional Malawi ART symptom set","Anorexia","0.0","concept-set"
"Additional Malawi ART symptom set","Cough","1.0","concept-set"
"Additional Malawi ART symptom set","Diarrhea","2.0","concept-set"
"Additional Malawi ART symptom set","Hepatitis","3.0","concept-set"
"Additional Malawi ART symptom set","Leg pain / numbness","4.0","concept-set"
"Additional Malawi ART symptom set","Peripheral neuropathy","5.0","concept-set"
"Additional Malawi ART symptom set","Vomiting","6.0","concept-set"
"Additional Malawi ART symptom set","Other symptom","7.0","concept-set"
"Adverse effect construct","Adverse effect medication","0.0","concept-set"
"Adverse effect construct","Adverse effect","1.0","concept-set"
"Adverse effect construct","Adverse effect date","2.0","concept-set"
"Age at intake","Age of child","1000.0","concept-set"
"Age at intake","Time units","1010.0","concept-set"
"Age at start of Neviripine construct","Patient age when result to guardian","1000.0","concept-set"
"Age at start of Neviripine construct","Units of age of child","1010.0","concept-set"
"Alcohol usage construct","History of alcohol use","0.0","concept-set"
"Alcohol usage construct","Type of alcohol","1.0","concept-set"
"Alcohol usage construct","Bottles of beer per day","2.0","concept-set"
"Alcohol usage construct","Liters of traditional alcohol consumed per day","3.0","concept-set"
"Alcohol use construct","History of alcohol use","1000.0","concept-set"
"Alcohol use construct","History of alcohol use","1000.0","concept-set"
"Alcohol use construct","History of alcohol use","1000.0","concept-set"
"Alcohol use construct","History of alcohol use","1000.0","concept-set"
"Alcohol use construct","Type of alcohol","1010.0","concept-set"
"Alcohol use construct","Type of alcohol","1010.0","concept-set"
"Alcohol use construct","Type of alcohol","1010.0","concept-set"
"Alcohol use construct","Type of alcohol","1010.0","concept-set"
"Alcohol use construct","Does the patient drink alcohol?","1020.0","concept-set"
"Alcohol use construct","Does the patient drink alcohol?","1020.0","concept-set"
"Alcohol use construct","Does the patient drink alcohol?","1020.0","concept-set"
"Alcohol use construct","Does the patient drink alcohol?","1020.0","concept-set"
"Alcohol use construct","Number of days per week alcohol is used","1030.0","concept-set"
"Alcohol use construct","Number of days per week alcohol is used","1030.0","concept-set"
"Alcohol use construct","Number of days per week alcohol is used","1030.0","concept-set"
"Alcohol use construct","Number of days per week alcohol is used","1030.0","concept-set"
"Alcohol use construct","Glasses of wine per day","1040.0","concept-set"
"Alcohol use construct","Glasses of wine per day","1040.0","concept-set"
"Alcohol use construct","Glasses of wine per day","1040.0","concept-set"
"Alcohol use construct","Glasses of wine per day","1040.0","concept-set"
"Alcohol use construct","Bottles of beer per day","1050.0","concept-set"
"Alcohol use construct","Bottles of beer per day","1050.0","concept-set"
"Alcohol use construct","Bottles of beer per day","1050.0","concept-set"
"Alcohol use construct","Bottles of beer per day","1050.0","concept-set"
"Alcohol use construct","Alcoholic drinks per day","1060.0","concept-set"
"Alcohol use construct","Alcoholic drinks per day","1060.0","concept-set"
"Alcohol use construct","Alcoholic drinks per day","1060.0","concept-set"
"Alcohol use construct","Alcoholic drinks per day","1060.0","concept-set"
"Alcohol use construct","Liters of traditional alcohol consumed per day","1070.0","concept-set"
"Alcohol use construct","Liters of traditional alcohol consumed per day","1070.0","concept-set"
"Alcohol use construct","Liters of traditional alcohol consumed per day","1070.0","concept-set"
"Alcohol use construct","Liters of traditional alcohol consumed per day","1070.0","concept-set"
"Alcohol use construct","Date of exposure","1080.0","concept-set"
"Alcohol use construct","Date of exposure","1080.0","concept-set"
"Alcohol use construct","Date of exposure","1080.0","concept-set"
"Alcohol use construct","Date of exposure","1080.0","concept-set"
"Alcohol use construct","Duration in years","1090.0","concept-set"
"Alcohol use construct","Duration in years","1090.0","concept-set"
"Alcohol use construct","Duration in years","1090.0","concept-set"
"Alcohol use construct","Duration in years","1090.0","concept-set"
"Alternative first line antiretroviral regimen","Stavudine Lamivudine and Efavirenz","0.0","concept-set"
"Alternative first line antiretroviral regimen","Zidovudine lamivudine and nevirapine","1.0","concept-set"
"Alternative first line antiretroviral regimen","Zidovudine Lamivudine and Efavirenz","2.0","concept-set"
"Anatomic locations","Anterior","0.0","concept-set"
"Anatomic locations","Left","1.0","concept-set"
"Anatomic locations","Left lower extremity","2.0","concept-set"
"Anatomic locations","Left lower lobe","3.0","concept-set"
"Anatomic locations","Left lower quadrant","4.0","concept-set"
"Anatomic locations","Left upper extremity","5.0","concept-set"
"Anatomic locations","Left upper lobe","6.0","concept-set"
"Anatomic locations","Lower extremities","7.0","concept-set"
"Anatomic locations","Right","8.0","concept-set"
"Anatomic locations","Right lower extremity","9.0","concept-set"
"Anatomic locations","Right lower lobe","10.0","concept-set"
"Anatomic locations","Right middle lobe","11.0","concept-set"
"Anatomic locations","Right upper extremity","12.0","concept-set"
"Anatomic locations","Right upper lobe","13.0","concept-set"
"Anatomic locations","Right upper quadrant","14.0","concept-set"
"Anatomic locations","Submandibular","15.0","concept-set"
"Anatomic locations","Substernal","16.0","concept-set"
"Anatomic locations","Superior","17.0","concept-set"
"Anatomic locations","Supraclavicular","18.0","concept-set"
"Anatomic locations","Suprapubic","19.0","concept-set"
"Anatomic locations","Upper extremities","20.0","concept-set"
"Anatomic locations","Lingula of left lung","21.0","concept-set"
"Antibiotic result","Penicillin","0.0","concept-set"
"Antibiotic result","Ampicillin","1.0","concept-set"
"Antibiotic result","Chloramphenicol","2.0","concept-set"
"Antibiotic result","Trimethoprim and sulfamethoxazole","3.0","concept-set"
"Antibiotic result","Gentamicin","4.0","concept-set"
"Antibiotic result","Erythromycin","5.0","concept-set"
"Antibiotic result","Tetracycline","6.0","concept-set"
"Antibiotic result","Ceftriaxone","7.0","concept-set"
"Antibiotic result","Ciprofloxacin","8.0","concept-set"
"Antibiotic result","Methicillin","9.0","concept-set"
"Antibiotic Set","Currently (or in the last week) taking antibiotics","1000.0","concept-set"
"Antibiotic Set","Duration (coded)","1010.0","concept-set"
"Antibiotics","Amoxicillin","1.0","concept-set"
"Antibiotics","Cefixime","2.0","concept-set"
"Antibiotics","Ceftriaxone","3.0","concept-set"
"Antibiotics","Cefuroxime","4.0","concept-set"
"Antibiotics","Cetirizine","5.0","concept-set"
"Antibiotics","Penicillin","6.0","concept-set"
"Antibiotics","Trimethoprim","7.0","concept-set"
"Antibiotics","Trimethoprim and sulfamethoxazole","8.0","concept-set"
"Antimalarial medications","Chloroquine","1.0","concept-set"
"Antimalarial medications","Doxycycline","2.0","concept-set"
"Antimalarial medications","Mefloquine","3.0","concept-set"
"Antimalarial medications","Proguanil","4.0","concept-set"
"Antiretroviral drugs","Abacavir","0.0","concept-set"
"Antiretroviral drugs","Didanosine","1.0","concept-set"
"Antiretroviral drugs","Efavirenz","2.0","concept-set"
"Antiretroviral drugs","Lamivudine","3.0","concept-set"
"Antiretroviral drugs","Lopinavir and Ritonavir","4.0","concept-set"
"Antiretroviral drugs","Nelfinavir","5.0","concept-set"
"Antiretroviral drugs","Nevirapine","6.0","concept-set"
"Antiretroviral drugs","Other antiretroviral drug","7.0","concept-set"
"Antiretroviral drugs","Stavudine","8.0","concept-set"
"Antiretroviral drugs","Stavudine Lamivudine and Nevirapine","9.0","concept-set"
"Antiretroviral drugs","Tenofovir","10.0","concept-set"
"Antiretroviral drugs","Unknown antiretroviral drug","11.0","concept-set"
"Antiretroviral drugs","Zidovudine","12.0","concept-set"
"Antiretroviral drugs","Zidovudine and Lamivudine","13.0","concept-set"
"Antiretroviral drugs","Stavudine and Lamivudine","14.0","concept-set"
"Antiretroviral drugs","Stavudine Lamivudine and Abacavir","15.0","concept-set"
"Antiretroviral drugs","Stavudine Lamivudine and Efavirenz","16.0","concept-set"
"Antiretroviral drugs","Zidovudine lamivudine and nevirapine","17.0","concept-set"
"Antiretroviral drugs","Abacavir Lamivudine","18.0","concept-set"
"Antiretroviral drugs","Tenofavir Lamivudine","19.0","concept-set"
"Antiretroviral drugs","Tenofovir Lamivudine Efavirenz","20.0","concept-set"
"Antiretroviral drugs","Tenofovir stavudine","21.0","concept-set"
"Antiretroviral drugs","Didanosine Abacavir Lopinavir Ritonavir","22.0","concept-set"
"Antiretroviral drugs","Zidovudine Lamivudine Tenofovir Lopinavir Ritonavir","23.0","concept-set"
"Antiretroviral treatment construct","Antiretroviral drugs","0.0","concept-set"
"Antiretroviral treatment construct","Drug start date","1.0","concept-set"
"Antiretroviral treatment construct","Drug end date","2.0","concept-set"
"Antiretroviral treatment construct","Reason treatment stopped comment","3.0","concept-set"
"Antiretroviral treatment construct","Dose in milligrams","4.0","concept-set"
"Antiretroviral treatment construct","Drug frequency coded","5.0","concept-set"
"Antiretroviral treatment needed construct","Antiretroviral treatment needed","0.0","concept-set"
"Antiretroviral treatment needed construct","Drug start date","1.0","concept-set"
"Aorta findings","Aortic root dilation","0.0","concept-set"
"Aorta findings","Ascending aorta structure","1.0","concept-set"
"Aorta findings","Aortic aneurysm size","2.0","concept-set"
"Aorta findings","Peak gradient across coarctation","3.0","concept-set"
"Aortic valve findings","Regurgitation","0.0","concept-set"
"Aortic valve findings","Post operative valve type","1.0","concept-set"
"Aortic valve findings","Post operative valve appearance","2.0","concept-set"
"Aortic valve findings","Aortic valve structure","3.0","concept-set"
"Aortic valve findings","Stenosis","4.0","concept-set"
"Aortic valve findings","Aotric calculated valve area","5.0","concept-set"
"Aortic valve findings","Peak aortic valve velocity","6.0","concept-set"
"Aortic valve findings","Peak gradient across aortic valve","7.0","concept-set"
"Aortic valve findings","Aortic valve mean gradient","8.0","concept-set"
"Aortic valve findings","Regurgitant valve findings","9.0","concept-set"
"Aortic valve findings","Left ventricular outflow tract diameter","10.0","concept-set"
"Aortic valve findings","Aortic valve pressure half time","11.0","concept-set"
"Appearance","Clear","0.0","concept-set"
"Appearance","Cloudy","1.0","concept-set"
"Appearance","Hazy","2.0","concept-set"
"Appearance","Bloodstained","3.0","concept-set"
"Appearance","Heavily bloodstained","4.0","concept-set"
"Appearance","Purulent","5.0","concept-set"
"Appearance","Clotted","6.0","concept-set"
"Appointment set","Appointment date","1000.0","concept-set"
"Appointment set","Appointment reason","1010.0","concept-set"
"Appointment set","Appointment location","1020.0","concept-set"
"Appointment set","Qualitative time","1030.0","concept-set"
"APZU HIV Services Delivery Screening","Village Health Worker present at visit","0.0","concept-set"
"APZU HIV Services Delivery Screening","Referred for POSER assistance","1.0","concept-set"
"APZU HIV Services Delivery Screening","All prescribed drugs picked up","2.0","concept-set"
"APZU HIV Services Delivery Screening","Screened for Cervical Cancer","3.0","concept-set"
"APZU HIV Services Delivery Screening","Screened for Tuberculosis","4.0","concept-set"
"APZU HIV Services Delivery Screening","Food package provided","5.0","concept-set"
"APZU HIV Services Delivery Screening","Sample taken for CD4 count","6.0","concept-set"
"APZU HIV Services Delivery Screening","Sample taken for DNA-PCR","7.0","concept-set"
"ARV regimens received abstracted construct","Antiretroviral drugs received","0.0","concept-set"
"ARV regimens received abstracted construct","Drug start date","1.0","concept-set"
"ARV regimens received abstracted construct","Historical drug stop date","2.0","concept-set"
"ARV regimens received abstracted construct","Reason antiretrovirals changed or stopped","3.0","concept-set"
"Asdf","Malaria","0.0","concept-set"
"Asdf","Left lower extremity","1.0","concept-set"
"Aspirate sample","Full aspirate analysis","0.0","concept-set"
"Avoided a sexual relationship construct","In the last year have you avoided having a sexual relationship, getting married, or having a child because of your HIV status","0.0","concept-set"
"Avoided a sexual relationship construct","If you have avoided having a sexual relationship, getting married, or having a child because of your HIV status, why?","1.0","concept-set"
"Avoided applying for school, further training or a scholarship because of your HIV status construct","In the last year have you avoided applying for school, further training or a scholarship because of your HIV status","0.0","concept-set"
"Avoided applying for school, further training or a scholarship because of your HIV status construct","If in the last year you have avoided applying for school, further training or a scholarship because of your HIV status, why?","1.0","concept-set"
"Avoided promotion or job opportunity construct","In the last year have you avoided a promotion or job opportunity because of your HIV status","0.0","concept-set"
"Avoided promotion or job opportunity construct","If in the last year you have avoided a promotion or job opportunity because of your HIV status, why?","1.0","concept-set"
"Avoided relationships with friends or relatives construct","In the last year have you avoided relationships with friends or relatives because of your HIV status","0.0","concept-set"
"Avoided relationships with friends or relatives construct","If you have avoided relationships with friends or relatives because of your HIV status, why?","1.0","concept-set"
"Avoided seeking health care construct","In the last year have you avoided seeking health care because of your HIV status","0.0","concept-set"
"Avoided seeking health care construct","If you have avoided seeking health care because of your HIV status, why?","1.0","concept-set"
"Avoided travel construct","In the last year have you avoided travel because of your HIV status","0.0","concept-set"
"Avoided travel construct","If in the last year you have avoided travel because of your HIV status, why?","1.0","concept-set"
"Baseline HIV test construct","Result of HIV test","0.0","concept-set"
"Baseline HIV test construct","HIV test date","1.0","concept-set"
"Baseline HIV test construct","Program that ordered test","2.0","concept-set"
"Baseline HIV test construct","Other program that ordered test","3.0","concept-set"
"Baseline HIV test construct","HIV test date unknown","4.0","concept-set"
"Baseline HIV test construct","Location where test took place","5.0","concept-set"
"Baseline HIV test construct","HIV test type","6.0","concept-set"
"Bed nets construct","How many bed nets do you own","0.0","concept-set"
"Bed nets construct","Do you use bed nets","1.0","concept-set"
"Bed nets construct","Where did you get the bed nets","2.0","concept-set"
"Beta blocker construct","Dose cannot be increased","0.0","concept-set"
"Beta blocker construct","Increase patient dose","1.0","concept-set"
"Beta blocker construct","Dose change reason other, non coded","2.0","concept-set"
"Biochemistry results","Serum glutamic-oxaloacetic transaminase","0.0","concept-set"
"Biochemistry results","Serum glutamic-pyruvic transaminase","1.0","concept-set"
"Biochemistry results","Uric acid","2.0","concept-set"
"Biochemistry results","Serum creatinine","3.0","concept-set"
"Biochemistry results","Blood urea nitrogen","4.0","concept-set"
"Biochemistry results","Serum glucose","5.0","concept-set"
"Biochemistry results","Serum albumin","6.0","concept-set"
"Biochemistry results","Serum amylase","7.0","concept-set"
"Biochemistry results","Total bilirubin","8.0","concept-set"
"Biochemistry results","Direct bilirubin","9.0","concept-set"
"Biochemistry results","Serum sodium","10.0","concept-set"
"Biochemistry results","Serum potassium","11.0","concept-set"
"Biochemistry results","Serum Chloride","12.0","concept-set"
"Biochemistry results","Bicarbonate","13.0","concept-set"
"Biochemistry results","Serum calcium","14.0","concept-set"
"Biochemistry results","Serum carbon dioxide","15.0","concept-set"
"Blood sample nos","Any other blood test","0.0","concept-set"
"Blood sugar test set","Blood sugar test type","0.0","concept-set"
"Blood sugar test set","Serum glucose","1.0","concept-set"
"Calculated WHO HIV staging conditions","HIV wasting syndrome (severe weight loss + persistent fever or severe weight loss + chronic diarrhoea)","0.0","concept-set"
"Cancer","Head","0.0","concept-set"
"Cancer","Mouth","1.0","concept-set"
"Cancer","Skin","2.0","concept-set"
"Cancer","Bone","3.0","concept-set"
"Cancer","Gastrointestinal","4.0","concept-set"
"Cancer","Liver","5.0","concept-set"
"Cancer","Pulmonary system","6.0","concept-set"
"Cancer","Other","7.0","concept-set"
"Candida","Oral","0.0","concept-set"
"Candida","Oesophageal","1.0","concept-set"
"Candida","Vaginal","2.0","concept-set"
"Cardiac diagnosis construct","Preliminary cardiac diagnosis during encounter","0.0","concept-set"
"Cardiac diagnosis construct","Electrocardiogram diagnosis","1.0","concept-set"
"Cardiac diagnosis construct","Estimation of ejection fraction","2.0","concept-set"
"Cardiac diagnosis construct","Date of general test","3.0","concept-set"
"Cardiac exam construct","Cardiac exam findings","0.0","concept-set"
"Cardiac exam construct","Physical system comment","1.0","concept-set"
"Cardiac exam construct","PMI displacement","2.0","concept-set"
"Cardiac exam construct","Cardiac murmur diagnosis","3.0","concept-set"
"Cardiac exam construct","Cardiac murmur 2","4.0","concept-set"
"Cardiac exam construct","Cardiac murmur 3","5.0","concept-set"
"Cardiac medication construct","Cardiac medication","0.0","concept-set"
"Cardiac medication construct","Pill size","1.0","concept-set"
"Cardiac medication construct","Morning dose in milligrams","2.0","concept-set"
"Cardiac medication construct","Morning dose in pills","3.0","concept-set"
"Cardiac medication construct","Noon dose in milligrams","4.0","concept-set"
"Cardiac medication construct","Noon dose in pills","5.0","concept-set"
"Cardiac medication construct","Night dose in milligrams","6.0","concept-set"
"Cardiac medication construct","Night dose in pills","7.0","concept-set"
"Cardiac medication construct","Drug frequency coded","8.0","concept-set"
"Cardiac murmur construct","Cardiac murmur diagnosis","0.0","concept-set"
"Cardiac murmur construct","Location of cardiac murmur","1.0","concept-set"
"Cardiomyopathy","Peripartum cardiomyopathy","0.0","concept-set"
"Cardiomyopathy","Cardiomyopathy ischaemia","1.0","concept-set"
"Cardiomyopathy","Cardiomyopathy post infection","2.0","concept-set"
"Cardiomyopathy","Alcoholic cardiomyopathy","3.0","concept-set"
"Cardiomyopathy","HIV associated cardiomyopathy","4.0","concept-set"
"Cardiomyopathy","Cardiomyopathy nutritional","5.0","concept-set"
"Cardiomyopathy","Cardiomyopathy other cause","6.0","concept-set"
"Care Linked Set","Care Linked","1000.0","concept-set"
"Care Linked Set","Other non-coded (text)","1010.0","concept-set"
"Carotid findings","Plaque","0.0","concept-set"
"CD4 blood sample","CD4 count","0.0","concept-set"
"CD4 blood sample","HIV viral load","1.0","concept-set"
"CD4 panel","CD4 count","0.0","concept-set"
"CD4 panel","Cd4%","1.0","concept-set"
"CDC category A","Dermatitis","1.0","concept-set"
"CDC category A","Hepatomegaly","2.0","concept-set"
"CDC category A","Respiratory tract infections, recurrent (sinusitis, tonsilitus, otitis media, pharyngitis)","3.0","concept-set"
"CDC category A","Lymphadenopathy","4.0","concept-set"
"CDC category A","Parotitis","5.0","concept-set"
"CDC category A","Splenomegaly","6.0","concept-set"
"CDC category B","Cardiomyopathy","1.0","concept-set"
"CDC category B","Diarrhoea, chronic (>1 month) unexplained","2.0","concept-set"
"CDC category B","Hepatitis","3.0","concept-set"
"CDC category B","Bacterial infection","4.0","concept-set"
"CDC category B","Chronic cytopenia(s)","5.0","concept-set"
"CDC category B","HSV bronchitis","6.0","concept-set"
"CDC category B","HSV stomatitis","7.0","concept-set"
"CDC category B","Infant cytomegalovirus","8.0","concept-set"
"CDC category B","Infant toxoplasmosis","9.0","concept-set"
"CDC category B","Symptomatic lymphoid interstitial pneumonia","10.0","concept-set"
"CDC category B","Peds herpes zoster","11.0","concept-set"
"CDC category B","Peds thrush","12.0","concept-set"
"CDC category B","Fever, persistent unexplained, intermittent or constant, >1 month","13.0","concept-set"
"CDC category B","Varicella, disseminated","14.0","concept-set"
"CDC category B","Leiomyosarcoma","15.0","concept-set"
"CDC category B","Nephropathy","16.0","concept-set"
"CDC category B","Nocardiosis","17.0","concept-set"
"CDC category C","Encephalopathy","1.0","concept-set"
"CDC category C","Candidiasis of oseophagus, trachea and bronchi or lungs","2.0","concept-set"
"CDC category C","Child HSV infection","3.0","concept-set"
"CDC category C","Coccidiodomycosis, disseminated","4.0","concept-set"
"CDC category C","Cryptococcosis, extrapulmonary","5.0","concept-set"
"CDC category C","Cryptosporidiosis","6.0","concept-set"
"CDC category C","Cytomegalovirus of an organ other than liver, spleen or lymph node","7.0","concept-set"
"CDC category C","Histoplasmosis, disseminated","8.0","concept-set"
"CDC category C","Lymphoma","9.0","concept-set"
"CDC category C","Lymphoma, brain","10.0","concept-set"
"CDC category C","Mycobacterium avium complex","11.0","concept-set"
"CDC category C","Atypical mycobacteriosis, disseminated or lung","12.0","concept-set"
"CDC category C","Salmonella septicemia","13.0","concept-set"
"CDC category C","Serious bacterial infections","14.0","concept-set"
"CDC category C","Toxoplasmosis of the brain (from age 1 month)","15.0","concept-set"
"CDC category C","Kaposis sarcoma","16.0","concept-set"
"CDC category C","Mycobacterium tuberculosis, extrapulmonary","17.0","concept-set"
"CDC category C","Pneumocystis pneumonia","18.0","concept-set"
"CDC category C","Progressive multifocal leukoencephalopathy","19.0","concept-set"
"CDC category C","HIV wasting syndrome (severe weight loss + persistent fever or severe weight loss + chronic diarrhoea)","20.0","concept-set"
"Cervical cancer screening set","Colposcopy of cervix with acetic acid","1000.0","concept-set"
"Cervical cancer screening set","Biopsy done","1010.0","concept-set"
"Cervical cancer screening set","Clinical impression comments","1020.0","concept-set"
"Chest x-ray or ct scan construct","Lung location","0.0","concept-set"
"Chest x-ray or ct scan construct","X-ray, chest","1.0","concept-set"
"Chest xray construct","X-ray, chest","0.0","concept-set"
"Chest xray construct","Date of general test","1.0","concept-set"
"Chest xray construct","Symptom comment","2.0","concept-set"
"Chest xray construct","Symptom comment 2","3.0","concept-set"
"Chest xray construct","Infiltrates location comment","4.0","concept-set"
"Chest xray construct","Effusion location","5.0","concept-set"
"Chest xray construct","Size of pulmonary effusion","6.0","concept-set"
"Chest xray construct","Severity of cardiomegaly","7.0","concept-set"
"Chest xray construct","Normal","8.0","concept-set"
"Child HIV serology construct","HIV test type","0.0","concept-set"
"Child HIV serology construct","Result of HIV test","1.0","concept-set"
"Child HIV serology construct","Date of blood sample","2.0","concept-set"
"Child HIV serology construct","Lab test serial number","3.0","concept-set"
"Child HIV serology construct","Date of returned result","4.0","concept-set"
"Child HIV serology construct","Location where test took place","5.0","concept-set"
"Child HIV serology construct","HIV test time period","6.0","concept-set"
"Child HIV serology construct","Reason for testing (coded)","7.0","concept-set"
"Child HIV serology construct","Age","8.0","concept-set"
"Child HIV serology construct","Location of laboratory","9.0","concept-set"
"Child HIV serology construct","Units of age of child","10.0","concept-set"
"Child HIV serology construct","Date result to guardian","11.0","concept-set"
"Child HIV serology construct","HIV test date","12.0","concept-set"
"Child of patient construct","Age of child","0.0","concept-set"
"Child of patient construct","Child adopted","1.0","concept-set"
"Child of patient construct","Result of HIV test","2.0","concept-set"
"Chronic Care Diagnosis Construct","Chronic care diagnosis","0.0","concept-set"
"Chronic Care Diagnosis Construct","Chronic care diagnosis","0.0","concept-set"
"Chronic Care Diagnosis Construct","Chronic care diagnosis","0.0","concept-set"
"Chronic Care Diagnosis Construct","Chronic care diagnosis","0.0","concept-set"
"Chronic Care Diagnosis Construct","Chronic care diagnosis","0.0","concept-set"
"Chronic Care Diagnosis Construct","Diagnosis date","1.0","concept-set"
"Chronic Care Diagnosis Construct","Diagnosis date","1.0","concept-set"
"Chronic Care Diagnosis Construct","Diagnosis date","1.0","concept-set"
"Chronic Care Diagnosis Construct","Diagnosis date","1.0","concept-set"
"Chronic Care Diagnosis Construct","Diagnosis date","1.0","concept-set"
"Chronic Care Diagnosis Construct","Other non-coded (text)","2.0","concept-set"
"Chronic Care Diagnosis Construct","Other non-coded (text)","2.0","concept-set"
"Chronic Care Diagnosis Construct","Other non-coded (text)","2.0","concept-set"
"Chronic Care Diagnosis Construct","Other non-coded (text)","2.0","concept-set"
"Chronic Care Diagnosis Construct","Other non-coded (text)","2.0","concept-set"
"Chronic Care Medication Set","Salbutamol","1000.0","concept-set"
"Chronic Care Medication Set","Beclomethasone","1010.0","concept-set"
"Chronic Care Medication Set","Hydrochlorothiazide","1020.0","concept-set"
"Chronic Care Medication Set","Captopril","1030.0","concept-set"
"Chronic Care Medication Set","Amlodipine","1040.0","concept-set"
"Chronic Care Medication Set","Enalapril","1050.0","concept-set"
"Chronic Care Medication Set","Nifedipine","1060.0","concept-set"
"Chronic Care Medication Set","Atenolol","1070.0","concept-set"
"Chronic Care Medication Set","Lisinopril","1080.0","concept-set"
"Chronic Care Medication Set","Propranolol","1090.0","concept-set"
"Chronic Care Medication Set","Phenobarbital","1100.0","concept-set"
"Chronic Care Medication Set","Phenytoin","1110.0","concept-set"
"Chronic Care Medication Set","Carbamazepine","1120.0","concept-set"
"Chronic Care Medication Set","Insulin","1130.0","concept-set"
"Chronic Care Medication Set","Metformin","1140.0","concept-set"
"Chronic Care Medication Set","Glibenclamide","1150.0","concept-set"
"Chronic Care Medication Set","Furosemide","1160.0","concept-set"
"Chronic Care Medication Set","Spironolactone","1170.0","concept-set"
"Chronic lung diagnosis set","Asthma","1000.0","concept-set"
"Chronic lung diagnosis set","Chronic obstructive pulmonary disease","1010.0","concept-set"
"Chronic psychiatric disease","Depression","0.0","concept-set"
"Chronic psychiatric disease","Mania","1.0","concept-set"
"Chronic psychiatric disease","Schizophrenia","2.0","concept-set"
"Civil status construct","Civil status","0.0","concept-set"
"Civil status construct","Partners cause of death","1.0","concept-set"
"Civil status construct","Other civil status comment","2.0","concept-set"
"Clinical impression","Tuberculosis assessment","0.0","concept-set"
"Clinical impression","Pneumonia assessment","1.0","concept-set"
"Clinical impression","Weight loss greater than ten percent","2.0","concept-set"
"Clinical impression","Unintentional weight loss more than 10 percent of body weight in abscence of concurrent illness","3.0","concept-set"
"Clinical impression","Herpes zoster","4.0","concept-set"
"Clinical impression","Candidiasis of oseophagus, trachea and bronchi or lungs","5.0","concept-set"
"Clinical impression","Malaria diagnosis","6.0","concept-set"
"Clinical impression","Meningitis assessment","7.0","concept-set"
"Clinical impression","Encephalopathy non focal","8.0","concept-set"
"Clinical impression","Does the patient have acute diarrhea","9.0","concept-set"
"Clinical impression","Dysphagia assessment","10.0","concept-set"
"Clinical impression","Nodular rash","11.0","concept-set"
"Clinical impression","Convulsions or focal neurological deficit","12.0","concept-set"
"Clinical impression","Syphilis","13.0","concept-set"
