concept,member,sort weight,member type
Adverse effect medication,Abacavir,2061,q-and-a
Adverse effect medication,Stavudine,3814,q-and-a
Adverse effect medication,Other non-coded,3877,q-and-a
Adverse effect to tuberculosis medication,Vision difficulties,1231,q-and-a
Adverse effect to tuberculosis medication,Skin rash,1232,q-and-a
Adverse effect to tuberculosis medication,Fever,1233,q-and-a
Adverse effect to tuberculosis medication,Tinnitus,1234,q-and-a
Adverse effect to tuberculosis medication,Joint pain,1235,q-and-a
Adverse effect to tuberculosis medication,Constipation,1236,q-and-a
Adverse effect to tuberculosis medication,Headache,1237,q-and-a
Adverse effect to tuberculosis medication,Psychosis,1238,q-and-a
Adverse effect to tuberculosis medication,Dermatitis,1240,q-and-a
Adverse effect to tuberculosis medication,Other non-coded,1241,q-and-a
Adverse effect to tuberculosis medication,Abdominal pain,1242,q-and-a
Adverse effect to tuberculosis medication,Nausea,1243,q-and-a
Adverse effect to tuberculosis medication,Diarrhea,1244,q-and-a
Adverse effect to tuberculosis medication,Skin discoloration,1245,q-and-a
Adverse effect to tuberculosis medication,Hearing difficulties,1246,q-and-a
Adverse effect to tuberculosis medication,Dizziness,1247,q-and-a
Adverse effect to tuberculosis medication,Tremor,1248,q-and-a
Adverse effect to tuberculosis medication,Depression,1249,q-and-a
Adverse effect to tuberculosis medication,Vomiting,1250,q-and-a
Adverse effect to tuberculosis medication,Fatigue,1251,q-and-a
Adverse effect to tuberculosis medication,Anemia,3623,q-and-a
Adverse effect to tuberculosis medication,Peripheral neuropathy,3624,q-and-a
Adverse effect to tuberculosis medication,Hypokalemia,3625,q-and-a
Adverse effect to tuberculosis medication,Hepatotoxicity,3626,q-and-a
Adverse effect to tuberculosis medication,Other psychiatric or neurological adverse effect,3627,q-and-a
Adverse event action taken,Drug desensitization,1259,q-and-a
Adverse event action taken,Drug withdrawn,1260,q-and-a
Adverse event action taken,Other non-coded,1261,q-and-a
Adverse event action taken,Inpatient care or hospitalization,1262,q-and-a
Adverse event grading,Adverse event mild,1252,q-and-a
Adverse event grading,Adverse event severe,1253,q-and-a
Adverse event grading,Adverse event moderate,1254,q-and-a
Adverse event outcome,Complete recovery,1256,q-and-a
Adverse event outcome,Unknown,1257,q-and-a
Adverse event outcome,655aaf8c-977f-11e1-8993-905e29aff6c1,1258,q-and-a
Adverse event outcome,Continuous,1288,q-and-a
Advised to visit art,No,8867,q-and-a
Advised to visit art,Yes,8868,q-and-a
Advised to visit art,Unknown,8869,q-and-a
AFB sputum smear,Moderately positive,1008,q-and-a
AFB sputum smear,Weakly positive,1009,q-and-a
AFB sputum smear,NOT done,1010,q-and-a
AFB sputum smear,Strongly positive,1011,q-and-a
AFB sputum smear,Negative,1027,q-and-a
AFB sputum smear,Contaminated,3146,q-and-a
AFB sputum smear,Scanty - 4 bacilli,3147,q-and-a
AFB sputum smear,Scanty - 5 bacilli,3148,q-and-a
AFB sputum smear,Scanty - 8 bacilli,3149,q-and-a
AFB sputum smear,Scanty - 1 bacillus,3150,q-and-a
AFB sputum smear,Scanty - 3 bacilli,3151,q-and-a
AFB sputum smear,Scanty - 6 bacilli,3152,q-and-a
AFB sputum smear,Scanty - 9 bacilli,3153,q-and-a
AFB sputum smear,Scanty - 2 bacilli,3154,q-and-a
AFB sputum smear,Scanty - 7 bacilli,3155,q-and-a
AFB sputum smear,Positive,3402,q-and-a
Afecting sleep,Yes,1,q-and-a
Afecting sleep,No,2,q-and-a
Afecting walking,Yes,1,q-and-a
Afecting walking,No,2,q-and-a
Agreed to return to clinic,Yes,1,q-and-a
Agreed to return to clinic,No,2,q-and-a
Agrees to text message for ART therapy,No,9584,q-and-a
Agrees to text message for ART therapy,Yes,9585,q-and-a
Agrees to text message for ART therapy,Unknown,9586,q-and-a
Alcohol trigger,Yes,1,q-and-a
Alcohol trigger,No,2,q-and-a
Alcohol trigger,Unknown,3,q-and-a
Alert,Weight for height less than 85 percent of median,8724,q-and-a
Alert,Weight loss greater than ten percent,8725,q-and-a
Alert,Patient has body mass index less than 18.5,8726,q-and-a
Alert,Weight for height less than 70 percent of median,8727,q-and-a
All children are alive,No,4834,q-and-a
All children are alive,Yes,4835,q-and-a
Allergic to sulphur,No,9651,q-and-a
Allergic to sulphur,Yes,9652,q-and-a
Allergic to sulphur,Unknown,9653,q-and-a
Amputation,Above knee,8846,q-and-a
Amputation,Toe(s) only,8847,q-and-a
Amputation,Below knee,8848,q-and-a
Amputation,Finger(s) only,8849,q-and-a
Amputation,Above elbow,8850,q-and-a
Amputation,Below elbow,8851,q-and-a
Amputation/foot ulcers,No,8680,q-and-a
Amputation/foot ulcers,Yes,8681,q-and-a
Anemia,Macrocytic,9256,q-and-a
Anemia,Microcytic,9257,q-and-a
Anemia,Unknown,9258,q-and-a
Anemia,Normocytic,9259,q-and-a
Anticonvulsant,Yes,1,q-and-a
Anticonvulsant,No,2,q-and-a
Anticonvulsant,Unknown,3,q-and-a
Antiretroviral adherence in past week,None,281,q-and-a
Antiretroviral adherence in past week,Few,282,q-and-a
Antiretroviral adherence in past week,Half,283,q-and-a
Antiretroviral adherence in past week,Most,284,q-and-a
Antiretroviral adherence in past week,All,285,q-and-a
Antiretroviral dose quantification,Total maternal to child transmission prophylaxis,299,q-and-a
Antiretroviral dose quantification,One dose,300,q-and-a
Antiretroviral dose quantification,Two doses,301,q-and-a
Antiretroviral dose quantification,More than two doses,302,q-and-a
Antiretroviral dose quantification,Treatment,303,q-and-a
Antiretroviral drug counted,Abacavir,3440,q-and-a
Antiretroviral drug counted,Zidovudine,3441,q-and-a
Antiretroviral drug counted,Lamivudine,3442,q-and-a
Antiretroviral drug counted,Efavirenz,3443,q-and-a
Antiretroviral drug counted,Nevirapine,3444,q-and-a
Antiretroviral drug counted,Stavudine,3445,q-and-a
Antiretroviral drug counted,Stavudine Lamivudine and Nevirapine,3446,q-and-a
Antiretroviral drug counted,Zidovudine and Lamivudine,3447,q-and-a
Antiretroviral drug counted,Stavudine and Lamivudine,3604,q-and-a
Antiretroviral drug counted,Zidovudine lamivudine and nevirapine,3872,q-and-a
Antiretroviral drugs received,Lopinavir and Ritonavir,3245,q-and-a
Antiretroviral drugs received,Zidovudine,3246,q-and-a
Antiretroviral drugs received,Lamivudine,3248,q-and-a
Antiretroviral drugs received,Didanosine,3249,q-and-a
Antiretroviral drugs received,Stavudine,3250,q-and-a
Antiretroviral drugs received,Nelfinavir,3251,q-and-a
Antiretroviral drugs received,Stavudine Lamivudine and Nevirapine,3252,q-and-a
Antiretroviral drugs received,Abacavir,3253,q-and-a
Antiretroviral drugs received,Efavirenz,3254,q-and-a
Antiretroviral drugs received,Nevirapine,3255,q-and-a
Antiretroviral drugs received,Zidovudine and Lamivudine,3256,q-and-a
Antiretroviral drugs received,Tenofovir,3257,q-and-a
Antiretroviral drugs received,Zidovudine lamivudine and nevirapine,3520,q-and-a
Antiretroviral drugs received,Zidovudine Lamivudine and Efavirenz,3521,q-and-a
Antiretroviral drugs received,Stavudine Lamivudine and Efavirenz,3522,q-and-a
Antiretroviral plan,Start drugs,585,q-and-a
Antiretroviral plan,Continue regimen,586,q-and-a
Antiretroviral plan,Change formulation,587,q-and-a
Antiretroviral plan,Change regimen,588,q-and-a
Antiretroviral plan,Stop all,589,q-and-a
Antiretroviral plan,None,614,q-and-a
Antiretroviral regimen at time of transfer-in,Zidovudine Lamivudine and Abacavir,3435,q-and-a
Antiretroviral regimen at time of transfer-in,D4T30+3TC+NVP,3436,q-and-a
Antiretroviral regimen at time of transfer-in,D4T30+3TC+EFV,3439,q-and-a
Antiretroviral regimen at time of transfer-in,Zidovudine lamivudine and nevirapine,3517,q-and-a
Antiretroviral regimen at time of transfer-in,Zidovudine Lamivudine and Efavirenz,3518,q-and-a
Antiretroviral status or outcome,Patient transferred out,3183,q-and-a
Antiretroviral status or outcome,Patient defaulted,3185,q-and-a
Antiretroviral status or outcome,Patient died,3186,q-and-a
Antiretroviral status or outcome,Treatment stopped,3187,q-and-a
Antiretroviral status or outcome,Alive,3680,q-and-a
Antiretroviral treatment needed,Currently in treatment,2087,q-and-a
Antiretroviral treatment needed,"Yes, after education and/or assigning a community health worker",2088,q-and-a
Antiretroviral treatment needed,Pregnancy,2089,q-and-a
Antiretroviral treatment needed,Start immediately,2090,q-and-a
Antiretroviral treatment needed,"No, treatment NOT indicated",2091,q-and-a
Antiretroviral treatment needed,"Yes, but treatment refused",2092,q-and-a
Antiretroviral treatment needed,"Yes, but pregnant so start PTME treatment",3619,q-and-a
Antiretroviral treatment status,Treatment stopped,1114,q-and-a
Antiretroviral treatment status,Active NOT on ARVs,1115,q-and-a
Antiretroviral treatment status,Patient defaulted,1521,q-and-a
Antiretroviral treatment status,Patient died,1522,q-and-a
Antiretroviral treatment status,On antiretrovirals,3580,q-and-a
Antiretroviral treatment status,Patient transferred out,5540,q-and-a
Antiretroviral use during pregnancy,Nevirapine,264,q-and-a
Antiretroviral use during pregnancy,Unknown,265,q-and-a
Antiretroviral use during pregnancy,None,266,q-and-a
Antiretroviral use during pregnancy,Total maternal to child transmission prophylaxis,267,q-and-a
Antiretroviral use during pregnancy,On antiretrovirals,3579,q-and-a
Antiretrovirals for prevention of maternal to child transmission,No,1015,q-and-a
Antiretrovirals for prevention of maternal to child transmission,Yes,1016,q-and-a
Antiretrovirals started,Zidovudine and Lamivudine,642,q-and-a
Antiretrovirals started,Stavudine Lamivudine and Nevirapine,643,q-and-a
Antiretrovirals started,Lamivudine,645,q-and-a
Antiretrovirals started,Stavudine,646,q-and-a
Antiretrovirals started,Zidovudine,648,q-and-a
Antiretrovirals started,Abacavir,649,q-and-a
Antiretrovirals started,Didanosine,650,q-and-a
Antiretrovirals started,Tenofovir,652,q-and-a
Antiretrovirals started,Efavirenz,653,q-and-a
Antiretrovirals started,Nevirapine,654,q-and-a
Antiretrovirals started,Nelfinavir,655,q-and-a
Antiretrovirals started,Lopinavir and Ritonavir,656,q-and-a
Antiretrovirals started,D4T30+3TC+NVP,4263,q-and-a
Antiretrovirals started,Zidovudine Lamivudine and Efavirenz,4264,q-and-a
Antiretrovirals started,Other antiretroviral drug,4265,q-and-a
Antiretrovirals started,Zidovudine lamivudine and nevirapine,4266,q-and-a
Antiretrovirals started,D4T30+3TC+EFV,4267,q-and-a
Antiretrovirals started,Antiretroviral triple therapy during pregnancy,4294,q-and-a
Any need to see a clinician,No,9568,q-and-a
Any need to see a clinician,Yes,9569,q-and-a
Any need to see a clinician,Unknown,9570,q-and-a
Any seizure occurred since last visit,Yes,1,q-and-a
Any seizure occurred since last visit,No,2,q-and-a
Any seizure triggers present,Yes,1,q-and-a
Any seizure triggers present,No,2,q-and-a
Any since last visit,Yes,1,q-and-a
Any since last visit,No,2,q-and-a
Any since last visit,Unknown,3,q-and-a
Aortic root dilation,Severely dilated,5356,q-and-a
Aortic root dilation,Mildly dilated,5357,q-and-a
Aortic root dilation,Aneurysmal,5358,q-and-a
Aortic root dilation,Moderately dilated,5359,q-and-a
Aortic root dilation,Normal,5360,q-and-a
Aortic valve structure,Vegetation,5322,q-and-a
Aortic valve structure,Mildly thickened,5323,q-and-a
Aortic valve structure,Trileaflet,5324,q-and-a
Aortic valve structure,Bicuspid,5325,q-and-a
Aortic valve structure,Severely thickened,5326,q-and-a
Aortic valve structure,NOT visualized,5327,q-and-a
Aortic valve structure,Moderately thickened,5328,q-and-a
Aortic valve structure,Normal,5329,q-and-a
Aortic valve symptoms,Aortic stenosis,4964,q-and-a
Aortic valve symptoms,Aortic regurgitation,4965,q-and-a
Apnea,Yes,1,q-and-a
Apnea,No,2,q-and-a
Appearance of sputum specimen,Saliva,3133,q-and-a
Appearance of sputum specimen,Mucopurulent,3134,q-and-a
Appearance of sputum specimen,Bloody,3135,q-and-a
Appointment reason,TB visit,8692,q-and-a
Appointment reason,EID visit,8693,q-and-a
Appointment reason,KS visit,8694,q-and-a
Appointment reason,Pre-ART visit,8695,q-and-a
Appointment reason,ART visit,8696,q-and-a
Appreciate home visits for your illness,Strongly agree,2196,q-and-a
Appreciate home visits for your illness,Agree,2197,q-and-a
Appreciate home visits for your illness,Strongly disagree,2198,q-and-a
Appreciate home visits for your illness,Disagree,2199,q-and-a
Appreciate home visits for your illness,Did NOT answer,2601,q-and-a
Appreciate home visits for your illness,Unknown,2704,q-and-a
Appreciate home visits for your illness,No,4905,q-and-a
Appreciate home visits for your illness,I don't know,4906,q-and-a
Appreciate home visits for your illness,Yes,4907,q-and-a
APZU HIV Services Delivery Screening,Sample taken for DNA-PCR,9927,q-and-a
APZU HIV Services Delivery Screening,Village Health Worker present at visit,9928,q-and-a
APZU HIV Services Delivery Screening,Screened for Tuberculosis,9929,q-and-a
APZU HIV Services Delivery Screening,All prescribed drugs picked up,9930,q-and-a
APZU HIV Services Delivery Screening,Screened for Cervical Cancer,9931,q-and-a
APZU HIV Services Delivery Screening,Food package provided,9932,q-and-a
APZU HIV Services Delivery Screening,Sample taken for CD4 count,9933,q-and-a
APZU HIV Services Delivery Screening,Referred for POSER assistance,9934,q-and-a
Are people afraid to be around you?,Yes,1,q-and-a
Are people afraid to be around you?,No,2,q-and-a
Are there any role models or professionals in your desired field that you look up to?,Yes,1,q-and-a
Are there any role models or professionals in your desired field that you look up to?,No,2,q-and-a
Are there any specific careers or industries that you are curious about or would like to learn more about?,Healthcare and medicine,1,q-and-a
Are there any specific careers or industries that you are curious about or would like to learn more about?,Technology and IT,2,q-and-a
Are there any specific careers or industries that you are curious about or would like to learn more about?,Creative arts and design,3,q-and-a
Are there any specific careers or industries that you are curious about or would like to learn more about?,Business and Entrepreneurship,4,q-and-a
Are there any specific careers or industries that you are curious about or would like to learn more about?,Other non-coded,5,q-and-a
Are you currently involved in any extracurricular activities or clubs related to your career interests?,Yes,1,q-and-a
Are you currently involved in any extracurricular activities or clubs related to your career interests?,No,2,q-and-a
Are you enrolled in a mutuelle,No,1745,q-and-a
Are you enrolled in a mutuelle,Yes,1746,q-and-a
Are you enrolled in a mutuelle,Did NOT answer,2877,q-and-a
Are you enrolled in a mutuelle,Unknown,2998,q-and-a
Are you happy with teen club?,Yes,1,q-and-a
Are you happy with teen club?,No,2,q-and-a
Are you in school?,Yes,1,q-and-a
Are you in school?,No,2,q-and-a
Are you presently physically able to work,No,1796,q-and-a
Are you presently physically able to work,Yes,1797,q-and-a
Are you presently physically able to work,Did NOT answer,2871,q-and-a
Are you presently physically able to work,Unknown,2992,q-and-a
Arthritis,Rheumatoid,9260,q-and-a
Arthritis,Systemic lupus erythematosus,9261,q-and-a
Arthritis,Gout,9262,q-and-a
Arthritis,Reactive,9263,q-and-a
Arthritis,Septic,9264,q-and-a
Arthritis,Osteoarthritis,9265,q-and-a
Arthritis,Unknown,9266,q-and-a
Arthritis,Acute sarcoidosis,9267,q-and-a
Arthritis,Psoriatic,9268,q-and-a
Arthritis,Other cause,9269,q-and-a
ARV education done,No,9818,q-and-a
ARV education done,Yes,9819,q-and-a
ARV education done,Unknown,9820,q-and-a
ARVs in Labour,AZT3TC,9883,q-and-a
ARVs in Labour,None,9884,q-and-a
ARVs in Labour,NVP AZT3TC,9885,q-and-a
ARVs in Labour,Unknown,9886,q-and-a
ARVs in Labour,sdNVP,9887,q-and-a
ARVs in Labour,ART,9888,q-and-a
ARVs in Pregnancy,AZT 4+w,9877,q-and-a
ARVs in Pregnancy,AZT 0-3w,9878,q-and-a
ARVs in Pregnancy,Unknown,9879,q-and-a
ARVs in Pregnancy,ART 4+w,9880,q-and-a
ARVs in Pregnancy,ART 0-3w,9881,q-and-a
ARVs in Pregnancy,None,9882,q-and-a
Ascending aorta structure,Severely dilated,5361,q-and-a
Ascending aorta structure,Mildly dilated,5363,q-and-a
Ascending aorta structure,Aneurysmal,5364,q-and-a
Ascending aorta structure,Moderately dilated,5365,q-and-a
Ascending aorta structure,Normal,5366,q-and-a
Ascites,Exudate,9270,q-and-a
Ascites,Other,9271,q-and-a
Ascites,Transudate,9272,q-and-a
Assumed tuberculous pleural effusion,Test requested,8541,q-and-a
Assumed tuberculous pleural effusion,Result available,8542,q-and-a
Asthma,New diagnosis,9277,q-and-a
Asthma,Other,9278,q-and-a
Asthma,Infective exacerbation,9279,q-and-a
Asthma,Non-infective exacerbation,9280,q-and-a
Asthma classification,Not at all,1,q-and-a
Asthma classification,Mild persistent,2,q-and-a
Asthma classification,Moderate persistent,3,q-and-a
Asthma classification,Intermittent,4,q-and-a
Asthma classification,Severe persistent,5,q-and-a
Asthma classification,Severe uncontrolled,6,q-and-a
Asthma exacerbation today,Yes,1,q-and-a
Asthma exacerbation today,No,2,q-and-a
Asthma family history,Yes,1,q-and-a
Asthma family history,No,2,q-and-a
Asthma family history,Unknown,3,q-and-a
Asthma family history,Positive,4,q-and-a
Asthma family history,Negative,5,q-and-a
Atonic seizures,Yes,1,q-and-a
Atonic seizures,No,2,q-and-a
Atrial findings,Thrombus,5470,q-and-a
Atrial septal defect,Secundum,5268,q-and-a
Atrial septal defect,Sinus venous,5269,q-and-a
Atrial septal defect,Unknown,5270,q-and-a
Atrial septal defect,Primum,5271,q-and-a
Attended school ever,Yes,483,q-and-a
Attended school ever,No,484,q-and-a
Attended school ever,NOT applicable,485,q-and-a
Audit-3 overall frequency,Never,455,q-and-a
Audit-3 overall frequency,Monthly or less,456,q-and-a
Audit-3 overall frequency,2 to 4 times a month,457,q-and-a
Audit-3 overall frequency,2 to 3 times a week,458,q-and-a
Audit-3 overall frequency,4 to 5 times a week,459,q-and-a
Audit-3 overall frequency,6 or more times a week,460,q-and-a
Audit-3 six or more drinks,Never,467,q-and-a
Audit-3 six or more drinks,Less than monthly,468,q-and-a
Audit-3 six or more drinks,Monthly,469,q-and-a
Audit-3 six or more drinks,Weekly,470,q-and-a
Audit-3 six or more drinks,Daily or almost daily,471,q-and-a
Audit-3 typical day,Zero,461,q-and-a
Audit-3 typical day,One to two,462,q-and-a
Audit-3 typical day,Three to four,463,q-and-a
Audit-3 typical day,Five to six,464,q-and-a
Audit-3 typical day,Seven to nine,465,q-and-a
Audit-3 typical day,Ten or more,466,q-and-a
B-HCG,Indeterminate,3067,q-and-a
B-HCG,Negative,3068,q-and-a
B-HCG,Positive,3069,q-and-a
Baby ARVs at Birth,None,9890,q-and-a
Baby ARVs at Birth,NVP AZT,9891,q-and-a
Baby ARVs at Birth,Unknown,9893,q-and-a
Baby ARVs at Birth,Nevirapine,9894,q-and-a
Baby ARVs at Birth,Zidovudine,9895,q-and-a
Baby ARVs cont'd,Nevirapine,9896,q-and-a
Baby ARVs cont'd,None,9897,q-and-a
Baby ARVs cont'd,Unknown,9898,q-and-a
